County,Density per square mile of land area - Population,Percentage of diabetics
Autauga County,91.8,12.1
Baldwin County,114.6,11.5
Barbour County,31,14.8
Bibb County,36.8,12.7
Blount County,88.9,13.2
Bullock County,17.5,17.6
Butler County,27,16.1
Calhoun County,195.7,13.2
Chambers County,57.4,15.7
Cherokee County,46.9,13.7
Chilton County,63,13.2
Choctaw County,15.2,17.4
Clarke County,20.9,15.2
Clay County,23.1,14.9
Cleburne County,26.7,12.8
Coffee County,73.6,13
Colbert County,91.8,14.9
Conecuh County,15.6,18.5
Coosa County,17.7,16.2
Covington County,36.6,13.8
Crenshaw County,22.8,15.9
Cullman County,109.4,13.4
Dale County,89.6,14.5
Dallas County,44.8,16.4
DeKalb County,91.5,13.6
Elmore County,128.2,13.3
Escambia County,40.5,13.4
Etowah County,195.2,14.9
Fayette County,27.5,17.6
Franklin County,50,12.8
Geneva County,46.6,13.4
Greene County,14,18.8
Hale County,24.5,14.9
Henry County,30.8,14.7
Houston County,175.1,13.5
Jackson County,49.4,14.8
Jefferson County,592.5,12.5
Lamar County,24.1,15
Lauderdale County,138.8,12.3
Lawrence County,49.7,15.5
Lee County,230.8,9.7
Limestone County,147.8,11.7
Lowndes County,15.8,21.6
Macon County,35.2,17
Madison County,417.7,11
Marengo County,21.5,17.8
Marion County,41.5,14.9
Marshall County,164.4,13.8
Mobile County,335.9,12.9
Monroe County,22.5,16
Montgomery County,292.5,14
Morgan County,206.3,12.7
Perry County,14.7,17.6
Pickens County,22.4,16.3
Pike County,48.9,14.9
Randolph County,39.5,14.9
Russell County,82.6,14
St. Clair County,132.3,12.3
Shelby County,248.5,8.5
Sumter County,15.2,16.4
Talladega County,111.7,13.2
Tallapoosa County,58.1,14.1
Tuscaloosa County,147.3,10.7
Walker County,84.7,15
Washington County,16.3,14.7
Wilcox County,13.1,19.8
Winston County,39.9,12.8
Aleutians East Borough,0.4,7.1
Aleutians West,1.3,6.5
Anchorage Municipality,171.2,7
Bethel Census Area,0.4,5.9
Bristol Bay Borough,2,8.8
Denali Borough,0.1,6.3
Dillingham Census Area,0.3,7.9
Fairbanks North Star,13.3,5.7
Haines Borough,1.1,8.2
Hoonah-Angoon 2009 Census,0.3,8.6
Juneau City and Borough,11.6,6.6
Kenai Peninsula Borough,3.4,6.6
Ketchikan Gateway Borough,2.8,7.6
Kodiak Island Borough,2.1,6.3
Lake and Peninsula Borough,0.1,8.2
Matanuska-Susitna Borough,3.6,7.8
Nome Census Area,0.4,7.3
North Slope Borough,0.1,7.4
Northwest Arctic Borough,0.2,6.8
Petersburg 2009 Census,1.2,7.4
Prince of Wales-Hyder 2009 Census,1.4,7.4
Prince of Wales-Outer K 2004 to 2008 Census,2.1,No Data
Sitka City and Borough,0.3,7.5
Skagway Municipality 2009 Census,0.4,6.6
Hoonah-Angoon 2004 to 2008 Census,0.9,No Data
Southeast Fairbanks Census,0.1,6.7
Valdez-Cordova Census Area,0,6.1
Wade Hampton Census Area,21.3,5.9
Wrangell City and Borough 2009 Census,7.2,8.9
Wrangell-Petersburg 2004 to 2008 Census,11.3,No Data
Yakutat City and Borough,8.1,7.8
Yukon-Koyukuk Census Area,4.6,7.8
Apache County,4.6,15.1
Cochise County,414.9,9.6
Coconino County,15,7.4
Gila County,10.8,12.3
Graham County,106.7,10.5
Greenlee County,70,9.4
La Paz County,38.3,13.4
Maricopa County,26,8.2
Mohave County,35.5,11.6
Navajo County,19.2,12.3
Pima County,23.6,8.5
Pinal County,74.9,11.6
Santa Cruz County,261.2,6.7
Yavapai County,62.5,10.1
Yuma County,17.7,10.2
Arkansas County,8.5,13.9
Ashley County,43.6,13.4
Baxter County,18.3,12.2
Benton County,26.6,9.4
Boone County,25.2,11.9
Bradley County,46.9,13.4
Calhoun County,14.5,12.7
Carroll County,32.1,11.3
Chicot County,38.5,16.3
Clark County,136.4,11.9
Clay County,104.4,11.7
Cleburne County,83.5,14.6
Cleveland County,29,14.2
Columbia County,12.2,13
Conway County,16.9,13.3
Craighead County,22.3,11.9
Crawford County,174.8,10.7
Crittenden County,29.8,15.5
Cross County,19.8,12.5
Dallas County,141.7,13.9
Desha County,28.3,14.6
Drew County,72.9,13.4
Faulkner County,31.1,10.6
Franklin County,53.5,12.3
Fulton County,23.4,13.4
Garland County,48,12.5
Grant County,23.6,10.9
Greene County,28.4,13.9
Hempstead County,88.9,14.4
Hot Spring County,38.7,11.9
Howard County,14.5,12.7
Independence County,29.6,11.8
Izard County,17.3,11.8
Jackson County,25.2,13.8
Jefferson County,24.7,15.5
Johnson County,31.6,12.1
Lafayette County,88.7,14.4
Lawrence County,18.8,12.1
Lee County,27.9,12.6
Lincoln County,69.5,11.3
Little River County,51.6,13.2
Logan County,13.4,13.1
Lonoke County,12.2,11.7
Madison County,14.6,13
Marion County,10.1,13.3
Miller County,35.6,11.8
Mississippi County,18.9,12.9
Monroe County,31.3,14.9
Montgomery County,18.8,12
Nevada County,32.4,14.5
Newton County,24.1,12.4
Ouachita County,76,13.3
Perry County,13.4,12.2
Phillips County,503.8,16.6
Pike County,27.6,12.9
Poinsett County,44.5,11.8
Polk County,148,12.3
Pope County,12.6,11
Prairie County,12.3,12.9
Pulaski County,236.4,10.8
Randolph County,30.2,12.5
St. Francis County,28.6,13.3
Saline County,20.4,10.9
Scott County,40.1,12.2
Searcy County,24.4,12.3
Sebastian County,215.6,12.8
Sevier County,74.5,12.9
Sharp County,12.4,12.7
Stone County,23.9,14.5
Union County,2043.6,12.7
Van Buren County,1.6,14
Washington County,64.1,8
White County,134.4,10.6
Woodruff County,44.7,14.4
Yell County,18.6,12.2
Alameda County,1465.2,7.7
Alpine County,28.4,10.1
Amador County,106,10.1
Butte County,156.2,9.5
Calaveras County,21.4,10
Colusa County,37.7,8.3
Contra Costa County,41.8,8.3
Del Norte County,1.8,8.7
El Dorado County,103.3,8
Fresno County,110.1,9
Glenn County,51.5,8.4
Humboldt County,7.7,8.3
Imperial County,2419.6,8
Inyo County,70.6,10
Kern County,485.1,9
Kings County,12.6,8.5
Lake County,25.1,10.5
Lassen County,132.2,8
Los Angeles County,2.5,8
Madera County,4.7,8.9
Marin County,126.5,6.6
Mariposa County,182.4,10.3
Mendocino County,103.1,8
Merced County,3807.7,8.3
Modoc County,247.6,9.2
Mono County,7.8,6.8
Monterey County,303.8,6.7
Napa County,1470.8,7.4
Nevada County,39.8,6.8
Orange County,101.5,7.6
Placer County,735.8,7.4
Plumas County,17179.2,9.6
Riverside County,492.6,9.6
Sacramento County,81.7,8.8
San Benito County,1602.2,7.2
San Bernardino County,155,9.1
San Diego County,1381,7.6
San Francisco County,589.4,6.8
San Joaquin County,46.9,9.6
San Luis Obispo County,3.4,6.9
San Mateo County,7.2,7.7
Santa Barbara County,503,6.5
Santa Clara County,307.1,7.5
Santa Cruz County,344.2,6.4
Shasta County,157.3,10.5
Sierra County,21.5,9.8
Siskiyou County,4.3,8.7
Solano County,91.7,10.7
Sonoma County,24.9,6.4
Stanislaus County,446.7,9.4
Sutter County,197.9,8.8
Tehama County,114.2,9.1
Trinity County,378.2,9.7
Tulare County,21.4,7.5
Tuolumne County,716.7,9.6
Ventura County,8.9,7
Yolo County,1.5,6.8
Yuba County,4.3,8.5
Adams County,405.6,7
Alamosa County,1691.9,7.1
Arapahoe County,17.6,6.1
Archuleta County,1,6.3
Baca County,23,8.3
Bent County,6.4,7
Boulder County,2.9,4.7
Broomfield County,7.4,5.9
Chaffee County,5.8,7
Cheyenne County,27.1,7.1
Clear Creek County,3922.6,6.7
Conejos County,1.9,6.9
Costilla County,339.7,8.2
Crowley County,31,6.6
Custer County,12.5,7.9
Delta County,292.6,8.6
Denver County,30.5,6.3
Dolores County,19.1,7.5
Douglas County,36.3,4.5
Eagle County,8,4.1
Elbert County,4.7,5.3
El Paso County,0.8,6.5
Fremont County,4.2,8.4
Garfield County,0.9,5.8
Gilpin County,699.5,6.7
Grand County,0.8,5.4
Gunnison County,3.8,4.8
Hinsdale County,19.4,7
Huerfano County,30.3,8.7
Jackson County,115.4,6.8
Jefferson County,3.2,5.8
Kiowa County,2.1,8.5
Kit Carson County,12.4,8.6
Lake County,44.1,5.2
La Plata County,0.8,5.6
Larimer County,2.9,5.3
Las Animas County,12.6,8.1
Lincoln County,18.4,8.6
Logan County,22,7.5
Mesa County,14.9,7.6
Mineral County,8.2,7.4
Moffat County,7.4,6.8
Montezuma County,6.5,6.3
Montrose County,17.7,6.9
Morgan County,7.7,7.6
Otero County,66.7,7.9
Ouray County,2.1,6.9
Park County,13.1,6.1
Phillips County,10,7.7
Pitkin County,1.9,4.9
Prowers County,1.8,7.1
Pueblo County,5.7,9
Rio Blanco County,4.3,6
Rio Grande County,46,7.1
Routt County,41.9,3.9
Saguache County,1.9,6
San Juan County,63.4,6.4
San Miguel County,4.2,4.8
Sedgwick County,1467.2,7.9
Summit County,1216.2,4
Teller County,206.3,7
Washington County,448.6,7.1
Weld County,1426.7,6.3
Yuma County,412.2,6.4
Fairfield County,372.2,7.3
Hartford County,230.9,8.9
Litchfield County,276.9,7.1
Middlesex County,1263.2,8.7
New Haven County,210.6,9.5
New London County,9856.5,8.6
Tolland County,282.7,7.9
Windham County,46.3,10.2
Kent County,222.6,11.4
New Castle County,97,8.5
Sussex County,535,11.8
District of Columbia,1444.9,8.2
Alachua County,25.8,7.3
Baker County,235.2,13.8
Bay County,242.8,10.4
Bradford County,315.8,13.7
Brevard County,160.9,12.2
Broward County,84.7,9.5
Calhoun County,54.7,14.2
Charlotte County,23.3,13.4
Citrus County,1133.9,12.1
Clay County,453.4,11
Collier County,197.1,10.1
Columbia County,21.6,13.5
DeSoto County,89.8,13.1
Dixie County,48.4,15
Duval County,16,11.5
Escambia County,28.1,12.3
Flagler County,28.8,12.1
Franklin County,43.5,10.3
Gadsden County,34,15.3
Gilchrist County,365.6,10.8
Glades County,97.2,13.1
Gulf County,1204.9,11.8
Hamilton County,41.6,14.5
Hardee County,274.5,14.1
Hendry County,54.2,11.9
Hernando County,24.7,12.8
Highlands County,16.3,14.4
Hillsborough County,316.6,10.6
Holmes County,788.7,14.6
Indian River County,413.1,12
Jackson County,36.5,13.3
Jefferson County,10,14.2
Lafayette County,27.6,11.9
Lake County,434.5,12.9
Lee County,209.1,10.3
Leon County,269.2,9.2
Levy County,1315.5,13.1
Liberty County,74.3,12.2
Madison County,113,14.2
Manatee County,194.4,11.9
Marion County,52,12
Martin County,1268.5,9
Miami-Dade County,202.4,8.4
Monroe County,670.2,7.5
Nassau County,622.2,9.6
Okaloosa County,3347.5,9.7
Okeechobee County,334.9,11.1
Orange County,102.2,8.9
Osceola County,316.4,9.8
Palm Beach County,485.7,9.3
Pasco County,149.6,11.7
Pinellas County,682.6,11.4
Polk County,1367,12.4
Putnam County,170.8,14.5
St. Johns County,60.3,8.1
St. Lucie County,21.6,13.4
Santa Rosa County,63.8,10.1
Sarasota County,449.2,10.3
Seminole County,50.8,11
Sumter County,53,14.5
Suwannee County,42.7,12.7
Taylor County,36,13.7
Union County,24.7,13.3
Volusia County,42.9,12.6
Wakulla County,10.1,11.7
Walton County,177.3,10.6
Washington County,79.3,14.1
Appling County,432.7,15.1
Atkinson County,217.9,11.3
Bacon County,70.5,11
Baker County,42.7,14.4
Baldwin County,622.8,11.6
Banks County,60.5,11.3
Barrow County,41.6,11.2
Bartow County,32.9,10.8
Ben Hill County,69.3,14.4
Berrien County,104.4,12.3
Bibb County,28.2,10.9
Bleckley County,128.3,13.9
Brantley County,23.9,11.1
Brooks County,82.4,15.5
Bryan County,45.3,10.6
Bulloch County,221.5,10.6
Burke County,394.3,13.1
Butts County,15.7,12.3
Calhoun County,621.7,12.3
Camden County,45.3,10.9
Candler County,83,12.1
Carroll County,508.3,12.4
Catoosa County,979.1,12.3
Charlton County,16.3,11
Chatham County,1832.5,10.2
Chattahoochee County,8.5,7.1
Chattooga County,2026.4,12.4
Cherokee County,73.7,9.9
Clarke County,83.6,9.8
Clay County,427.6,16.9
Clayton County,75.8,10.6
Clinch County,288.8,12.8
Cobb County,38.9,8.9
Coffee County,86,11.5
Colquitt County,95.6,12.6
Columbia County,105.9,9.5
Cook County,46.6,13.3
Coweta County,2585.7,10.5
Crawford County,44,13
Crisp County,38.1,14.2
Dade County,287.7,11.8
Dawson County,661.8,10.9
Decatur County,21.5,13.2
DeKalb County,9.7,8.9
Dodge County,109.4,14.6
Dooly County,57.4,13.8
Dougherty County,33.2,12.4
Douglas County,60.2,11.6
Early County,61.2,13.4
Echols County,548.3,10.2
Effingham County,188.9,10.4
Elbert County,783.5,14.1
Emanuel County,84.5,11.6
Evans County,1748,14
Fannin County,66.3,13.8
Fayette County,21.4,10.9
Floyd County,189.7,10.9
Forsyth County,155.1,10.4
Franklin County,55,11.6
Fulton County,41.3,8
Gilmer County,1871.2,12.2
Glascock County,155.5,12
Glynn County,457.5,10
Gordon County,20,10.5
Grady County,102,12.3
Greene County,69,15.3
Gwinnett County,108.5,7.4
Habersham County,40,11.3
Hall County,633,11.6
Hancock County,372.5,15.9
Haralson County,26.9,12
Harris County,178.1,14.1
Hart County,37.8,11.7
Heard County,45.6,11.8
Henry County,32.2,10.4
Houston County,24,11.2
Irwin County,32.9,12.2
Jackson County,72.8,8.9
Jasper County,99.8,11.6
Jeff Davis County,54.4,12.5
Jefferson County,60,14
Jenkins County,79.5,13.4
Johnson County,129.5,12.6
Jones County,38,13.1
Lamar County,36.1,12.1
Lanier County,220.2,11.3
Laurens County,105.9,12.7
Lee County,85,11.6
Liberty County,33.8,10.2
Lincoln County,36.8,13.4
Long County,99.6,10
Lowndes County,23.9,10.6
Lumpkin County,43.9,9.5
McDuffie County,21.7,15.8
McIntosh County,45.9,13.7
Macon County,66.8,13.6
Madison County,38.1,11.6
Marion County,51.4,14.3
Meriwether County,115,12.8
Miller County,877.5,13.8
Mitchell County,367.3,12.7
Monroe County,178,12.9
Montgomery County,33.9,14
Morgan County,455.8,13.4
Murray County,184.3,11.4
Muscogee County,126.8,13
Newton County,59.3,11.2
Oconee County,82.7,9.6
Oglethorpe County,133.6,12.6
Paulding County,48.2,11.9
Peach County,61.6,12.4
Pickens County,16.6,12.5
Pierce County,44,12.4
Pike County,18,12
Polk County,618.4,12.9
Pulaski County,656.5,13.7
Putnam County,30,13.6
Quitman County,22.6,17.1
Rabun County,37.1,13.5
Randolph County,326.1,16.8
Richmond County,146.1,11.6
Rockdale County,13.2,12.9
Schley County,68,12.8
Screven County,17.5,13.4
Seminole County,8.8,14
Spalding County,53.2,13.5
Stephens County,23.6,14.1
Stewart County,37.7,13.1
Sumter County,27.8,12.4
Talbot County,82.1,17
Taliaferro County,154.9,15.7
Tattnall County,74.8,10.2
Taylor County,62.9,13.5
Telfair County,34.5,12.1
Terrell County,161.9,15
Thomas County,31.3,14.7
Tift County,25.2,13.2
Toombs County,66.3,13.9
Towns County,84,13.9
Treutlen County,154,11.9
Troup County,257.2,12.9
Turner County,40.7,13
Twiggs County,20.5,15.5
Union County,31.2,14.3
Upson County,46.9,13
Walker County,13.4,13.5
Walton County,25.1,11.8
Ware County,112.8,13.6
Warren County,353.2,14.9
Washington County,24.5,14.3
Wayne County,22.6,12.4
Webster County,21.4,13.8
Wheeler County,38,10.8
White County,45.9,11.3
Whitfield County,1586.7,11
Wilcox County,7.5,11
Wilkes County,108.2,16.1
Wilkinson County,133.3,14.2
Worth County,372.8,13.2
Hawaii County,2.9,8.1
Honolulu County,74.5,8.3
Kalawao County,6.1,11.7
Kauai County,12,8.4
Maui County,21.8,8.3
Ada County,8.1,7.6
Adams County,3.7,12.1
Bannock County,23.6,10
Bear Lake County,55.9,9.2
Benewah County,8.6,12.3
Bingham County,1.3,12.2
Blaine County,1,5.9
Boise County,321.6,9.9
Bonner County,3.9,9.1
Bonneville County,8.9,8.7
Boundary County,0.6,9.1
Butte County,3.6,10.4
Camas County,0.9,9.1
Canyon County,8.8,9.7
Caribou County,19.3,9
Cassia County,7.1,10
Clark County,29.8,9.3
Clearwater County,21.2,10.9
Custer County,1.9,9.2
Elmore County,23.9,8.5
Franklin County,37.5,8.9
Fremont County,111.3,9
Gem County,34.6,9.8
Gooding County,1.7,9.6
Idaho County,8,10.7
Jefferson County,4.3,9.3
Jerome County,80,9
Kootenai County,26.5,9.1
Latah County,46.3,6.9
Lemhi County,3.6,11
Lewis County,1.5,10.6
Lincoln County,55.6,8.1
Madison County,5.6,5.5
Minidoka County,4.9,11.1
Nez Perce County,22.6,11.5
Oneida County,40.2,11.2
Owyhee County,2.7,10.4
Payette County,7,9.3
Power County,78.5,7.9
Shoshone County,35,10.7
Teton County,46.7,6.5
Twin Falls County,193,8.4
Valley County,22.7,8.4
Washington County,40.2,12
Adams County,20,9.6
Alexander County,34.6,12.2
Bond County,36.3,10.4
Boone County,201.8,8.7
Brown County,49.1,8.8
Bureau County,32.6,10.7
Calhoun County,29.5,10.3
Carroll County,79.7,12.3
Cass County,106,10
Champaign County,5495.1,7.7
Christian County,44.7,10.9
Clark County,31.9,10.4
Clay County,166.6,11.3
Clinton County,41.7,8.6
Coles County,48,7.9
Cook County,2799.8,9.1
Crawford County,29.8,10.7
Cumberland County,30.2,11
DeKalb County,71.5,7.6
De Witt County,30.9,10.4
Douglas County,29,9.9
DuPage County,96.8,7.4
Edgar County,42.8,11.1
Edwards County,17.3,10.4
Effingham County,25.6,8.8
Fayette County,119.8,11
Ford County,19.5,10.1
Franklin County,24.1,11.2
Fulton County,24.3,10.4
Gallatin County,19.3,11
Greene County,61.3,10.6
Grundy County,26.6,9.6
Hamilton County,103.1,10.7
Hancock County,19.6,11.1
Hardin County,68,12.2
Henderson County,62.2,11.4
Henry County,37.7,10
Iroquois County,36.6,11.2
Jackson County,990.8,8.8
Jasper County,167.7,10.8
Jefferson County,358.2,10.5
Jersey County,73.9,10.1
Jo Daviess County,1585.6,11.3
Johnson County,100.4,9.9
Kane County,45.2,8.3
Kankakee County,49.7,8.7
Kendall County,37.3,7.1
Knox County,49,9.8
Lake County,55.3,7.8
LaSalle County,511.9,10
Lawrence County,143.3,11.3
Lee County,190.8,10.4
Livingston County,55.4,10.4
Logan County,376.3,9.8
McDonough County,68.9,9.2
McHenry County,32.7,8.4
McLean County,27.2,8.5
Macon County,65,11.1
Macoupin County,40.4,11.5
Madison County,29.3,11.8
Marion County,85.6,9.5
Marshall County,42.8,11.4
Mason County,62.5,10.8
Massac County,44.2,12.1
Menard County,70.5,10.2
Mercer County,301.2,10.5
Monroe County,50.6,10.8
Montgomery County,38.1,9.6
Morgan County,19.8,11.4
Moultrie County,12.1,10.1
Ogle County,30.9,10.8
Peoria County,37.5,8.3
Perry County,58.2,10
Piatt County,45.1,11.2
Pike County,345,10.9
Pope County,410.6,11.3
Pulaski County,65.6,13.1
Putnam County,227.4,10.4
Randolph County,17.3,9.7
Richland County,21.3,9.9
Rock Island County,29.5,11.5
St. Clair County,20.8,11.6
Saline County,84.5,11
Sangamon County,208.6,10.9
Schuyler County,43.1,10.6
Scott County,90.9,10.2
Shelby County,53.5,9.8
Stark County,32.6,10.9
Stephenson County,26.2,12
Tazewell County,23.5,9.4
Union County,29.6,10.9
Vermilion County,85.5,12.1
Wabash County,809.6,11.2
Warren County,157.9,10.1
Washington County,575.2,10.8
Wayne County,73.3,10.9
White County,101.4,10.2
Whiteside County,540.6,10.3
Will County,188.7,9.4
Williamson County,21.8,10.2
Winnebago County,77.3,10.8
Woodford County,133.9,10.2
Adams County,48.9,10
Allen County,54.1,10.3
Bartholomew County,94.5,10.6
Benton County,295.6,12.6
Blackford County,75.2,12.4
Boone County,82,9.2
Brown County,35.1,11.9
Carroll County,73.7,10.9
Cass County,164.1,9.5
Clark County,69.1,12.8
Clay County,116.4,11.3
Clinton County,300.1,12.9
Crawford County,98,13.5
Daviess County,426.5,11.9
Dearborn County,112.9,11.2
Decatur County,504.1,12.3
DeKalb County,43.6,10.1
Delaware County,60.1,11.8
Dubois County,56.6,10.1
Elkhart County,68.7,9.3
Fayette County,169.2,13.1
Floyd County,61.1,9.8
Fountain County,696.4,13.1
Franklin County,228.8,12.4
Fulton County,81.2,11.5
Gibson County,357.4,11.4
Grant County,126.2,13.8
Greene County,282.4,14.5
Hamilton County,97,7.8
Hancock County,83.2,10.3
Harrison County,59.8,10.5
Hendricks County,55.4,9.2
Henry County,89.9,10.6
Howard County,75.7,12.5
Huntington County,435.8,13.2
Jackson County,74.5,11.8
Jasper County,145.6,11.5
Jay County,97.8,12.7
Jefferson County,994.1,11
Jennings County,186.3,11.2
Johnson County,102.7,10.4
Knox County,291.3,10
Kosciusko County,2279.6,9.7
LaGrange County,106.1,10.5
Lake County,30.8,12.9
LaPorte County,98.7,9.9
Lawrence County,349.7,15.6
Madison County,75.6,12.4
Marion County,170.5,10.9
Marshall County,35.5,10.9
Martin County,115.7,11.2
Miami County,71.1,10.9
Monroe County,49.8,8.5
Montgomery County,56,11.7
Morgan County,39,10.8
Newton County,50.7,11.8
Noble County,38.4,10.8
Ohio County,393,11.9
Orange County,63.3,11.7
Owen County,30.9,12.2
Parke County,79,11.7
Perry County,57.9,10.7
Pike County,64.6,12.9
Porter County,42.6,8.9
Posey County,583,11
Pulaski County,127,13.6
Putnam County,108.1,11.8
Randolph County,52.8,13.6
Ripley County,75.6,10
Rush County,110.7,11.9
St. Joseph County,48,9.5
Scott County,48.1,11.9
Shelby County,345.7,11.2
Spencer County,61.2,10.6
Starke County,46.6,10.5
Steuben County,769.7,11.8
Sullivan County,63.1,12
Switzerland County,267.4,13.2
Tippecanoe County,79.7,8.6
Tipton County,23.3,12.2
Union County,155.1,11.4
Vanderburgh County,55,12.7
Vermillion County,171.5,13
Vigo County,75.1,9.6
Wabash County,48.8,13.4
Warren County,99.2,11.6
Warrick County,13.5,10.8
Washington County,9.5,10.5
Wayne County,22.4,10.2
Wells County,25.9,10.8
White County,13.8,11.3
Whitley County,36.4,9.9
Adair County,231.7,11.2
Adams County,46,9.5
Allamakee County,55.7,8.9
Appanoose County,36.7,9.6
Audubon County,35.2,11.1
Benton County,25.6,9.7
Black Hawk County,17,9.7
Boone County,36.6,9.4
Bremer County,24.7,9.7
